Accuracy,Precision,Recall,F1
0.47058823529411764,0.45454545454545453,0.625,0.5263157894736842
0.5294117647058824,0.0,0.0,0.0
0.5588235294117647,1.0,0.0625,0.11764705882352941
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.4411764705882353,0.45454545454545453,0.9375,0.6122448979591837
0.5882352941176471,0.5555555555555556,0.625,0.5882352941176471
0.47058823529411764,0.4666666666666667,0.875,0.608695652173913
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.4375,0.4375,0.4375
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.35294117647058826,0.2857142857142857,0.25,0.26666666666666666
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.5,0.4838709677419355,0.9375,0.6382978723404255
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.3333333333333333,0.125,0.18181818181818182
0.47058823529411764,0.45454545454545453,0.625,0.5263157894736842
0.5588235294117647,0.5384615384615384,0.4375,0.4827586206896552
0.5,0.3333333333333333,0.0625,0.10526315789473684
0.6176470588235294,1.0,0.1875,0.3157894736842105
0.5882352941176471,1.0,0.125,0.2222222222222222
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.35294117647058826,0.2,0.125,0.15384615384615385
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.5882352941176471,0.55,0.6875,0.6111111111111112
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.5,0.0625,0.1111111111111111
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5,0.48484848484848486,1.0,0.653061224489796
0.5588235294117647,0.5172413793103449,0.9375,0.6666666666666667
0.38235294117647056,0.2222222222222222,0.125,0.16
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.46875,0.9375,0.625
0.5588235294117647,0.5555555555555556,0.3125,0.39999999999999997
0.5,0.48484848484848486,1.0,0.653061224489796
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.5882352941176471,1.0,0.125,0.2222222222222222
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.0,0.0,0.0
0.38235294117647056,0.2727272727272727,0.1875,0.2222222222222222
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.4117647058823529,0.16666666666666666,0.0625,0.09090909090909091
0.47058823529411764,0.46875,0.9375,0.625
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.25,0.0625,0.1
0.5588235294117647,0.5555555555555556,0.3125,0.39999999999999997
0.38235294117647056,0.41935483870967744,0.8125,0.5531914893617021
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5882352941176471,0.5833333333333334,0.4375,0.5
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5588235294117647,0.52,0.8125,0.6341463414634146
0.5294117647058824,0.0,0.0,0.0
0.5294117647058824,0.5,0.9375,0.6521739130434783
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5,0.48484848484848486,1.0,0.653061224489796
0.5,0.0,0.0,0.0
0.5294117647058824,0.5,0.5625,0.5294117647058824
0.5588235294117647,1.0,0.0625,0.11764705882352941
0.47058823529411764,0.4666666666666667,0.875,0.608695652173913
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5,0.0,0.0,0.0
0.4117647058823529,0.0,0.0,0.0
0.5294117647058824,0.0,0.0,0.0
0.47058823529411764,0.47058823529411764,1.0,0.6399999999999999
0.5294117647058824,0.0,0.0,0.0
0.5,0.48484848484848486,1.0,0.653061224489796
0.5294117647058824,0.0,0.0,0.0
0.5,0.4827586206896552,0.875,0.6222222222222222
0.5,0.48484848484848486,1.0,0.653061224489796
0.5588235294117647,1.0,0.0625,0.11764705882352941
0.5294117647058824,0.0,0.0,0.0
