input,output
tic1.fit,tic1.fit
tic2.fit,tic2.fit
tic3.fit,tic3.fit
A012_ PSN_J12355230plus2755559_R_600s_ZWO ASI1600MM-Cool_2024-02-29 20-36-50.fit,tic4.fit
MPC_Cslash2022-QE78_B_180s_ZWO ASI1600MM-Cool_2024-02-22 19-35-07.fit,tic5.fit
tic6.fit,tic6.fit
A012_ PSN_J12355230plus2755559_R_600s_ZWO ASI1600MM-Cool_2024-02-21 03-27-08.fit,tic7.fit
MPC_12PslashPons-Brooks_B_180s_ZWO ASI1600MM-Cool_2024-02-22 19-20-39.fit,tic8.fit
MPC_12PslashPons-Brooks_B_180s_ZWO ASI1600MM-Cool_2024-02-29 19-10-45.fit,tic9.fit
